"date_quarter","ipca_total","ipca_livres"
2002.1,1.487163232,1.5982658852
2002.2,1.43592905600001,0.621227783
2002.3,2.58103869200002,2.56123896839997
2002.4,6.56132280199999,6.33545426560003
2003.1,5.1327454975,4.10420894719998
2003.2,1.43353812450002,1.607420222
2003.3,1.32489730400001,0.640610932399999
2003.4,1.15426712720001,1.25509477160002
2004.1,1.85109678919999,2.18572477750001
2004.2,1.59814839770001,1.54780389339999
2004.3,1.94157972070002,1.34559086400001
2004.4,2.00278010959998,1.3053540122
2005.1,1.79057987420002,1.71926650010001
2005.2,1.34399014739999,1.3950257936
2005.3,0.771896487500001,0.0499499999999875
2005.4,1.66881985000003,1.09392062839999
2006.1,1.43672940169999,1.31550744000002
2006.2,0.0995585589999681,-0.389891888000005
2006.3,0.45059919949999,0.430579245700002
2006.4,1.12409991040001,1.20475719200002
2007.1,1.2551991632,1.55796549920002
2007.2,0.812185959999989,0.872369042499987
2007.3,0.892408030400005,1.35579381199999
2007.4,1.426180436,1.83001227740001
2008.1,1.51760270079999,1.84105585919996
2008.2,2.094293153,2.72411850240002
2008.3,1.07359385839998,1.05350374999997
2008.4,1.09389253599999,1.26512665279999
2009.1,1.23470528,1.27487670170001
2009.2,1.31568412159997,1.43679065960001
2009.3,0.631296864000008,0.430600269999992
2009.4,1.0637052476,0.952910864400014
2010.1,2.06383642000001,2.46994956800002
2010.2,1.002451,1.17291323750002
2010.3,0.500229017999998,0.499591596799998
2010.4,2.2262182175,2.78529625280002
2011.1,2.43956945599999,2.41909295960001
2011.2,1.39548442850002,1.26507040639998
2011.3,1.06340413760002,1.11360174890003
2011.4,1.45699717999999,1.67917240519999
2012.1,1.22464629200001,1.32543561980001
2012.2,1.08310584319999,1.12319053179999
2012.3,1.41656104910002,1.67923283
2012.4,1.99296896600001,2.276788796
2013.1,1.94204625199998,2.885980868
2013.2,1.184432291,1.2044620622
2013.3,0.621017252000011,0.822030426800002
2013.4,2.04331831760001,2.195548064
2014.1,2.17523791400001,2.60129616
2014.2,1.53761432799999,1.5073638272
2014.3,0.831507142499999,0.690262946000009
2014.4,1.71941270760001,1.76969602799999
2015.1,3.82779968960001,2.46995959199996
2015.2,2.25675050660001,1.98293108989998
2015.3,1.3859073656,1.06354659099999
2015.4,2.8159295072,2.74416099199999
2016.1,2.62081014899997,2.88677672959998
2016.2,1.74963965300001,1.55790111960001
2016.3,1.0430578304,1.21347763999999
2016.4,0.741789403999982,0.741650156000007
2017.1,0.963032134999997,0.681526124999987
2017.2,0.21939800180002,0.249542136800018
2017.3,0.591144729600002,-0.27024063729999
2017.4,1.14426117439999,0.680670162800001
2018.1,0.701477835199982,0.600992307199988
2018.2,1.888703088,0.991391522899976
2018.3,0.720853574399993,0.279698355200009
2018.4,0.389413582499998,1.0128435288
2019.1,1.50701132000002,1.64865776000001
2019.2,0.710811074100004,0.2592002456
2019.3,0.260088916400014,-0.0401319279999868
2019.4,1.76753086500001,1.97827107199999
2020.1,0.530847367499998,0.711358747999968
2020.2,-0.430612937200003,0.179575807999988
2020.3,1.24470952959999,0.930932245999982
2020.4,3.13138232899999,3.28532907279999
2021.1,2.05249299499999,1.30541514559999
2021.2,1.6786286369,1.09390657519999
2021.3,3.0196768832,2.43948374399996
2021.4,2.95802168750001,2.67193290549999
2022.1,3.2006523548,3.4892065592
2022.2,2.21526637939999,2.84584377500001
2022.3,-1.32454309920002,1.062743507
2022.4,1.6286339978,1.69864788440002
2023.1,2.09421060920003,1.49631310639999
2023.2,0.760729877599986,0.469590517700014
2023.3,0.61118671760001,-0.149967995199995
2023.4,1.08358776319999,1.31538507200002
2024.1,1.41549157759999,1.44575826500002
2024.2,1.05351567079999,0.862292900600004
2024.3,NA,NA
