"time","anual"
2013-03-01,0.59191055573824
2013-04-01,1.98744769874477
2013-05-01,2.23463687150838
2013-06-01,2.92682926829269
2013-07-01,3.26049254249046
2013-08-01,3.45423143350605
2013-09-01,3.41968911917099
2013-10-01,3.76251294442527
2013-11-01,3.73314898029726
2013-12-01,3.05107987658553
2014-01-01,1.63291966035271
2014-02-01,2.04811443433031
2014-03-01,3.1055900621118
2014-04-01,4.06837606837607
2014-05-01,3.75683060109289
2014-06-01,2.20040622884226
2014-07-01,0.940544171985214
2014-08-01,0.934891485809675
2014-09-01,1.13560454241817
2014-10-01,1.23087159015303
2014-11-01,0.699766744418517
2014-12-01,1.33067198935461
2015-01-01,1.63881748071979
2015-02-01,0.732717425931817
2015-03-01,-0.475586556753327
2015-04-01,-0.755584756898819
2015-05-01,-1.18499012508229
2015-06-01,-0.165617754223257
2015-07-01,-0.299500831946753
2015-08-01,-1.55474694012571
2015-09-01,-2.04755614266843
2015-10-01,-2.72757147551758
2015-11-01,-2.11780277961615
2015-12-01,0.361129349967171
2016-01-01,5.81726209294973
2016-02-01,5.72422517394053
2016-03-01,3.75915896782415
2016-04-01,-1.85369083085071
2016-05-01,-1.49900066622252
2016-06-01,-2.8865295288653
2016-07-01,-2.0694259012016
2016-08-01,-0.53763440860215
2016-09-01,-0.505731625084294
2016-10-01,-0.540540540540535
2016-11-01,-0.574712643678166
2016-12-01,-0.0327118089630374
2017-01-01,-0.20914251568569
2017-02-01,0.777744540831593
2017-03-01,1.19742093951489
2017-04-01,1.58516020236088
2017-05-01,1.04835982414608
2017-06-01,1.40075162282201
2017-07-01,1.53374233128833
2017-08-01,0.912162162162167
2017-09-01,1.69434090138936
2017-10-01,1.90217391304348
2017-11-01,2.04012240734444
2017-12-01,1.60340314136125
2018-01-01,1.55688622754491
2018-02-01,1.51380231522706
2018-03-01,0.758495145631066
2018-04-01,1.39442231075697
2018-05-01,1.87416331994645
2018-06-01,2.42587601078168
2018-07-01,2.04766700234977
2018-08-01,2.34348844994978
2018-09-01,1.36621126291236
2018-10-01,1.09999999999999
2018-11-01,0.73308897034321
2018-12-01,1.22383252818035
2019-01-01,1.76886792452831
2019-02-01,1.72514619883042
2019-03-01,1.41523637458596
2019-04-01,0.360183366077282
2019-05-01,-0.492772667542707
2019-06-01,-0.230263157894739
2019-07-01,-0.164473684210531
2019-08-01,0.163559044815176
2019-09-01,0.230111768573305
2019-10-01,0.857237059017479
2019-11-01,1.42242805160437
2019-12-01,1.11358574610245
2020-01-01,0.608342989571264
2020-02-01,0.229951135383732
2020-03-01,0.742280285035624
2020-04-01,1.56606851549754
2020-05-01,0.396170353251901
2020-06-01,-1.41773821299044
2020-07-01,-1.3838550247117
2020-08-01,-0.718484650555196
2020-09-01,1.77107248278123
2020-10-01,1.11147433801897
2020-11-01,1.04370515329419
2020-12-01,-1.06985525487728
2021-01-01,-2.6778001727613
2021-02-01,-3.35531975910525
2021-03-01,-2.56410256410257
2021-04-01,-1.76678445229682
2021-05-01,0.361723117395596
2021-06-01,1.00334448160535
2021-07-01,0.300701637153367
2021-08-01,-2.30263157894737
2021-09-01,-6.05865291653239
2021-10-01,-7.33915292596184
2021-11-01,-8.74757908327953
2021-12-01,-8.46055979643766
2022-01-01,-7.2189349112426
2022-02-01,-6.55786350148369
2022-03-01,-6.17059891107078
2022-04-01,-6.27861347285807
2022-05-01,-5.73394495412844
2022-06-01,-3.97350993377483
2022-07-01,-2.2651565622918
2022-08-01,-0.269360269360275
2022-09-01,2.46998284734135
2022-10-01,4.84996510816469
2022-11-01,7.18075698620446
2022-12-01,9.34676858929813
2023-01-01,8.3545918367347
2023-02-01,8.35185773261353
2023-03-01,7.1244358478401
2023-04-01,8.02512212142359
2023-05-01,6.74313521028849
2023-06-01,5.79310344827586
2023-07-01,4.77164280845261
2023-08-01,4.62525320729237
2023-09-01,4.85436893203883
2023-10-01,3.99334442595674
2023-11-01,3.53135313531354
2023-12-01,2.60565618048936
2024-01-01,4.03178340200119
2024-02-01,4.54279015240329
2024-03-01,4.21306048751129
2024-04-01,4.45736434108528
2024-05-01,5.50309345490068
2024-06-01,6.09517601043026
2024-07-01,5.2049446974626
